Film,URL,Start,End,Comment,Genres,,Video duration in sec:,20,Current number of clips:,737
Bahubali,https://www.youtube.com/watch?v=UFE5XWXF8Z4,3:18,4:00,Bahubali (2),"Action, Drama",,,2,,
Batman Begins,https://youtu.be/ouVIyC_YQOg,2:56,3:16,Batman Begins (car chase),"Action, Adventure",,Λουμιωτης: Προτεινω να βγει,1,,
Batman vs Superman,https://www.youtube.com/watch?v=PxcXyK2_CzM,0:01,0:25,Gods Among us,"Action, Adventure, Sci-Fi",,,1,,
Baywatch,https://www.youtube.com/watch?v=WDuIl_uPY_s,0:17,1:02,The Big Boy Competition Scene,"Action, Comedy, Crime",,,2,,
Beetlejuice,https://www.youtube.com/watch?v=0eC4G1Zw0Co,0:24,0:54,Beetlejuice (senora),"Comedy, Fantasy",,,1,,
Beetlejuice,https://www.youtube.com/watch?v=AQXVHITd1N4,0:35,1:50,Beetlejuice (day-o),"Comedy, Fantasy",,,3,,
Big Chill,https://www.youtube.com/watch?v=VyENk36LuXs,0:00,1:00,Big Chill (Dinner),"Comedy, Drama",,,3,,
Big Chill,https://www.youtube.com/watch?v=h0KbKONipqg,0:16,2:00,Big Chill (start),"Comedy, Drama",,,5,,
Big Fish,https://www.youtube.com/watch?v=RAvoR20o9s4,1:25,2:14,Big Fish,"Adventure, Drama, Fantasy",,,2,,
Big Lebowski,https://www.youtube.com/watch?v=lWz8NGIisMo,0:49,1:35,Big Lebowski,"Comedy, Crime, Sport",,,2,,
Big Lebowski Dream,https://www.youtube.com/watch?v=z92bykaeV4o,0:19,2:35,Big Lebowski Dream,"Comedy, Crime, Sport",,,6,,
Billy Elliot,https://www.youtube.com/watch?v=iUkIb9ZV9NQ,0:30,2:20,Billy Elliot - London Calling (The Clash),"Drama, Music",,,5,,
Blade 2,https://youtu.be/_fkUccUFShs,0:00,0:43,Blade 2 (slo mo),"Action, Horror, Sci-Fi",,,2,,
Boys and Girls,https://www.youtube.com/watch?v=s9KjwSW653g,0:25,2:03,Claire Forlani & Freddie Prinze Jr Dance Scene HD,"Comedy, Drama, Romance",,,4,,
Breakfast at Tiffany's,https://www.youtube.com/watch?v=uirBWk-qd9A,0:09,1:43,Breakfast at Tiffany's (Moon River),"Comedy, Drama, Romance",,,4,,
Breakfast at Tiffany's,https://www.youtube.com/watch?v=1JfS90u-1g8,0:12,1:00,Breakfast at Tiffany's (intro),"Comedy, Drama, Romance",,,2,,
Brooklyn,https://www.youtube.com/watch?v=5ZwneauRgX8,1:24,1:56,Brooklyn,"Drama, Romance",,,1,,
Bullit,https://www.youtube.com/watch?v=qgQfm0yW9aE,0:54,2:00,Bullit,"Action, Crime, Thriller",,,3,,
Butch Cassidy and Sundance Kid,https://www.youtube.com/watch?v=m8-vMP2_K7k,0:08,1:29,Butch Cassidy and Sundance Kid (1),"Biography, Crime, Drama",,,4,,
Butch Cassidy and Sundance Kid,https://www.youtube.com/watch?v=m8-vMP2_K7k,1:33,2:28,Butch Cassidy and Sundance Kid (2),"Biography, Crime, Drama",,,2,,
Call me by your name,https://www.youtube.com/watch?v=3pjCvhROoLY,0:10,0:33,Call me by your name,"Drama, Romance",,,1,,
Casablanca,https://www.youtube.com/watch?v=w3ruUJSgtzY,1:31,2:16,Casablanca,"Drama, Romance, War",,,2,,
Come and see,https://www.youtube.com/watch?v=8CFpHTFsnrs,5:32,8:04,Come and see (ending montage),"Drama, War",,,7,,
Cruel Intentions,https://www.youtube.com/watch?v=UIkWIg0bV5Y,0:40,3:00,Cruel Intentions,"Drama, Romance",,,7,,
Dances With Wolves,https://www.youtube.com/watch?v=VxpOzghdA-c,1:43,2:37,Dances With Wolves,"Adventure, Drama, Western",,,2,,
Dances With Wolves,https://www.youtube.com/watch?v=h9kQtd4_WcU,1:19,1:52,Dances With Wolves (hunt scene),"Adventure, Drama, Western",,,1,,
Dangerous Minds,https://www.youtube.com/watch?v=bKM9qXqGmgo,0:33,3:20,Dangerous Minds,"Biography, Drama",,,8,,
Dark,https://www.youtube.com/watch?v=zfFJ5iOSrMU,0:00,2:39,Dark,"Crime, Drama, Mystery",,,7,,
Death Proof,https://www.youtube.com/watch?v=-_fZDvxpXEI,0:15,3:00,Death Proof (down to mexico),Thriller,,,8,,
Django unchained,https://www.youtube.com/watch?v=_bgZ-24Tx_4,0:22,2:24,django unchained (the escape scene),"Drama, Western",,,6,,
Dr. Strangelove,https://www.youtube.com/watch?v=cIpTE-aHEZ0,0:49,2:14,Dr. Strangelove,Comedy,,,4,,
"Dracula, dead and loving it",https://www.youtube.com/watch?v=XQtDFTUm370,1:15,1:50,Dance scene (1),"Comedy, Fantasy, Horror",,,1,,
"Dracula, dead and loving it",https://www.youtube.com/watch?v=XQtDFTUm370,1:56,2:21,Dance scene (2),"Comedy, Fantasy, Horror",,,1,,
Drive,https://www.youtube.com/watch?v=VMXVD3dP_lY,0:10,1:00,Drive,"Crime, Drama",,,2,,
Easy Rider,https://www.youtube.com/watch?v=J1cDECkN2xg,0:00,1:22,Ease Rider (intro),"Adventure, Drama",,,4,,
Easy Rider,https://www.youtube.com/watch?v=SUS0TR0M0iA,0:00,1:59,Easy Rider (wasn't born to follow),"Adventure, Drama",,,5,,
Easy Rider,https://www.youtube.com/watch?v=J1cDECkN2xg,1:58,3:34,Easy Rider (born to be wild),"Adventure, Drama",,,4,,
Easy Virtue,https://www.youtube.com/watch?v=PVBfTNCcIhI,0:49,1:25,Easy Virtue (Can Can),"Comedy, Romance",,,1,,
Eternal sunshine of a spotless mind,https://youtu.be/wsZSZ_vcCvA,1:33,2:00,Eternal sunshine of a spotless mind (Emotional),"Drama, Romance, Sci-Fi",,,1,,
Eternity and a day,https://www.youtube.com/watch?v=uFWmeD2EARk,4:20,6:00,Eternity and a day,Drama,,,5,,
Eternity and a day,https://www.youtube.com/watch?v=0eU2y9R7lto,0:30,1:00,Eternity and a day (2),Drama,,,1,,
Evdokia,https://www.youtube.com/watch?v=mFqBONrJRJU,0:00,2:13,To zempekiko tis evdokias,"Drama, Romance",,,6,,
Fast times at ridgemont high,https://www.youtube.com/watch?v=z3bCc8xYAuQ,0:30,1:00,Fast times at ridgemont high,"Comedy, Drama",,,1,,
Ferris Bueller,https://www.youtube.com/watch?v=i_wrUmygRDA,0:00,0:30,Ferris Bueller (chase),Comedy,,,1,,
Ferris Bueller,https://www.youtube.com/watch?v=81ZtmBAA_NE,0:10,2:10,Ferris Bueller (twist and shout),Comedy,,,6,,
Ferris Bueller,https://www.youtube.com/watch?v=i_wrUmygRDA,3:02,4:41,Ferris Bueller (bus),Comedy,,,4,,
Finding Neverland,https://www.youtube.com/watch?v=or4o4Qwsn0s,2:38,3:11,Finding Neverland,"Biography, Drama, Family",,,1,,
For a few dollars more,https://www.youtube.com/watch?v=0JPnR7C8mZQ,0:48,2:42,For a few dollars more (final duel 1),Western,,,5,,
For a few dollars more,https://www.youtube.com/watch?v=0JPnR7C8mZQ,3:25,4:44,For a few dollars more (final duel 2),Western,,,3,,
For a few dollars more,https://www.youtube.com/watch?v=M-k_BW8iLkk,0:03,0:43,For a few dollars more (Clint entrance),Western,,,2,,
For a few dollars more,https://www.youtube.com/watch?v=M-k_BW8iLkk,5:44,6:04,For a few dollars more (Clint exit),Western,,,1,,
Forrest Gump,https://www.youtube.com/watch?v=_Nc8eLO4K_g,0:15,0:56,Forrest Gump (vietnam),"Drama, Romance",,,2,,
From dusk till dawn,https://www.youtube.com/watch?v=EdznDnhY9r4,2:01,3:30,From dusk till dawn (snake dance),"Action, Crime, Horror",,,4,,
Full metal jacket,https://www.youtube.com/watch?v=futq_Lrayes,0:19,1:31,Full metal jacket,"Drama, War",,,3,,
Ghostbusters,https://www.youtube.com/watch?v=byiGKBzIu-8,0:35,1:20,Ghostbusters (cleaning up the town),"Action, Comedy, Fantasy",,,2,,
Ghostbusters,https://www.youtube.com/watch?v=c0lCZ7q6Jug,2:05,2:45,Ghostbusters (main montage),"Action, Comedy, Fantasy",,,2,,
Gladiator,https://www.youtube.com/watch?v=CA_N_QVxbKg&t=122s,0:32,1:09,Ending Scene (1),"Action, Adventure, Drama",,,1,,
Gladiator,https://www.youtube.com/watch?v=CA_N_QVxbKg&t=122s,1:35,1:57,Ending Scene (2),"Action, Adventure, Drama",,,1,,
Gladiator,https://www.youtube.com/watch?v=CA_N_QVxbKg&t=122s,2:03,3:37,Ending Scene (3),"Action, Adventure, Drama",,,4,,
Good Will Hunting,https://www.youtube.com/watch?v=T5qajitmZd0,2:24,3:24,Good Will Hunting,"Drama, Romance",,,3,,
Goodfellas,https://www.youtube.com/watch?v=yDSAieOq4AE,0:10,0:35,Goodfellas,"Biography, Crime, Drama",,,1,,
Grease 1978,https://www.youtube.com/watch?v=aqIYxDk4vh8,0:24,0:44,Hopelessly_Devoted_to_You_Scene_4_10_Movieclips,"Musical, Romance",,,1,,
Grease 1978,https://www.youtube.com/watch?v=_ZfmXzIbHI8,0:38,0:58,Sandy_Scene_9_10_Movieclips,"Musical, Romance",,,1,,
Grease 1978,https://www.youtube.com/watch?v=_ZfmXzIbHI8,1:38,1:58,Sandy_Scene_9_10_Movieclips,"Musical, Romance",,,1,,
Grease 1978,https://www.youtube.com/watch?v=HsYC-hVEpQM,1:50,2:10,Thunder_Road_Race_Scene_10_10_Movieclips,"Musical, Romance",,,1,,
Grease 1978,https://www.youtube.com/watch?v=HsYC-hVEpQM,0:08,0:28,Thunder_Road_Race_Scene_10_10_Movieclips,"Musical, Romance",,,1,,
Groundhog Day,https://www.youtube.com/watch?v=0_UU_aqeKl4,0:00,0:37,Groundhog Day,"Comedy, Fantasy, Romance",,,1,,
Home Alone 1990,https://www.youtube.com/watch?v=_qu4ZBCU6Fc,0:02,0:22,Kevin_Washes_Up_Scene_1_5_Movieclips,"Comedy, Family",,,1,,
Hook,https://youtu.be/cwpWcdy3vNI,0:16,2:36,Hook (flying),"Adventure, Comedy, Family",,,7,,
Hotel Transylvania 2012,https://www.youtube.com/watch?v=_AgBIeTHzTM,0:06,0:26,The_Zing_Song_Scene_10_10_Movieclips,"Animation, Comedy, Family",,,1,,
Hotel Transylvania 2012,https://www.youtube.com/watch?v=_AgBIeTHzTM,1:14,1:34,The_Zing_Song_Scene_10_10_Movieclips,"Animation, Comedy, Family",,,1,,
Hotel Transylvania 3 2018,https://www.youtube.com/watch?v=43OVm86-4rU,3:20,3:40,DJ_Battle_Scene_10_10_Movieclips,"Animation, Comedy, Family",,,1,,
Hunger Games,https://www.youtube.com/watch?v=do1smOv8rf4,4:14,4:40,Hunger Games,"Action, Adventure, Sci-Fi",,,1,,
Hunger Games-Mockingjay,https://www.youtube.com/watch?v=0Y1EmA2CU04,1:58,2:30,Hunger Games-Mockingjay,"Action, Adventure, Sci-Fi",,,1,,
I Aliki sto Naftiko,https://www.youtube.com/watch?v=UHl9gklg1UQ,0:00,2:20,O glaros,"Comedy, Musical, Romance",,,7,,
"I kori mou, i sosialistria",https://www.youtube.com/watch?v=8syw8mjpgsQ,0:00,2:30,Einai to stroma moy mono,"Comedy, Romance",,,7,,
Il Postino,https://www.youtube.com/watch?v=OQfusjHRO4s,0:39,1:24,Il Postino,"Biography, Comedy, Drama",,,2,,
Intouchables,https://youtu.be/rq2EnikiWp8,0:23,1:20,Intouchables (Emotional),"Biography, Comedy, Drama",,,2,,
Iron Man 2,https://youtu.be/4LIIhSHgjTw,0:17,2:03,Iron Man 2 (skydive),"Action, Adventure, Sci-Fi",,,5,,
Jaws 1975,https://www.youtube.com/watch?v=FpxOLhuNXfM,1:28,1:48,Brody_Kills_the_Beast_Scene_10_10_Movieclips,"Adventure, Drama, Thriller",,,1,,
Johny English Strikes Again,https://www.youtube.com/watch?v=BL5cBtbokgA,0:09,1:55,Dance scene,"Action, Adventure, Comedy",,,5,,
Joker,https://www.youtube.com/watch?v=NgrM4_JMi9w,0:07,1:20,Joker,"Crime, Drama, Thriller",,,3,,
Karate Kid,https://youtu.be/oomCIXGzsR0,0:41,2:31,Karate Kid (fighting),"Action, Drama, Family",,,5,,
Kingsman: The Secret Service,https://www.youtube.com/watch?v=t1WWDBTda2Y,0:38,1:19,Kingsman (church scene),"Action, Adventure, Comedy",,,2,,
Koyaanisqatsi,https://www.youtube.com/watch?v=OacVy8_nJi0,0:00,4:14,Koyaanisqatsi (end scene),"Documentary, Music",,,12,,
Koyaanisqatsi,https://www.youtube.com/watch?v=yBqcXU0t_Xc,0:00,6:22,Koyaanisqatsi (prophecies),"Documentary, Music",,,19,,
Life is beautiful,https://www.youtube.com/watch?v=K7FW7t-N4jI,1:24,2:33,Vita e bella (finale),"Comedy, Drama, Romance",,,3,,
Lost in Translation,https://www.youtube.com/watch?v=gOpXt30kZCw,1:54,3:07,Just like Honey,Drama,,,3,,
man on fire,https://www.youtube.com/watch?v=tlgz71v1oIk,4:31,8:05,man on fire (the end),"Action, Crime, Drama",,,10,,
Matrix,https://www.youtube.com/watch?v=3WfR87K5zW8,0:38,1:20,Matrix fight chateau,"Action, Sci-Fi",,,2,,
Matrix Reloaded,https://www.youtube.com/watch?v=bb8KZps4woA,0:13,5:58,Matrix Reloaded (Music scene) - Burly Brawl - Neo vs Smiths,"Action, Sci-Fi",,,17,,
Mean Streets,https://www.youtube.com/watch?v=WZ7UwnfQ2nA,0:11,1:04,Mean Streets,"Crime, Drama, Thriller",,,2,,
Midnight Cowboy,https://www.youtube.com/watch?v=9lb5LdJ7cLc,0:53,3:02,Midnight Cowboy,"Drama, Western",,,6,,
Midnight in Paris,https://www.youtube.com/watch?v=JABOZpoBYQE,0:11,3:17,Midnight in Paris (intro),"Comedy, Fantasy, Romance",,,9,,
Modern Times,https://www.youtube.com/watch?v=6n9ESFJTnHs,0:14,2:42,Modern Times (factory scene),"Comedy, Drama, Family",,,7,,
Moulin Rouge,https://www.youtube.com/watch?v=Rn0xXo1gwGY,0:53,2:22,Moulin Rouge (El Tango De Roxanne),"Drama, Musical, Romance",,,4,,
Moulin Rouge,https://www.youtube.com/watch?v=xCIzxvCs4jA,1:03,2:04,Moulin Rouge (Can Can),"Drama, Musical, Romance",,,3,,
Notting Hill,https://www.youtube.com/watch?v=Ce_BXD_ONQ8,0:00,1:38,Notting Hill,"Comedy, Drama, Romance",,,4,,
Ocean's 11,https://www.youtube.com/watch?v=Cfu9s89C-pc,0:55,1:41,Ocean's 11,"Crime, Thriller",,,2,,
Ocean's 12,https://www.youtube.com/watch?v=mr834Cs9ncs,0:16,2:12,Ocean's 12,"Crime, Thriller",,,5,,
Ocean's 13,https://www.youtube.com/watch?v=H1MzGHGwP90,2:06,3:38,Ocean's 13,"Crime, Thriller",,,4,,
Office Space,https://www.youtube.com/watch?v=N9wsjroVlu8,0:00,1:37,Office Space (printer scene),Comedy,,,4,,
Once Upon a Time in America,https://www.youtube.com/watch?v=_McyI1IQfcM,0:45,1:25,Once upon a time in America (noodles I slipped),"Crime, Drama",,,2,,
Once Upon a Time in America,https://www.youtube.com/watch?v=0diCvgWv_ng,0:00,3:10,Once Upon a Time in America (peeping scene),"Crime, Drama",,,9,,
Once Upon a Time in America,https://www.youtube.com/watch?v=2QzV99L4XIg,0:00,1:14,Once Upon a Time in America (remember scene),"Crime, Drama",,,3,,
Once Upon a Time in America,https://www.youtube.com/watch?v=TgGqdAAyJSQ,1:40,2:40,Once Upon a Time in America (yesterday),"Crime, Drama",,,3,,
Oratotis miden,https://www.youtube.com/watch?v=ORMhGTOj-Rk,2:24,4:18,Brexei fotia stin strata mou,Drama,,,5,,
Peppermint,https://www.youtube.com/watch?v=3CZS69awf5I,0:00,2:11,Peppermint,"Comedy, Drama, Family",,,6,,
Phantom of the opera,https://www.youtube.com/watch?v=8Bn4BAlp8NQ,0:08,2:20,Masquerade (1),"Drama, Music, Musical",,,6,,
Phantom of the opera,https://www.youtube.com/watch?v=8Bn4BAlp8NQ,4:05,4:53,Masquerade (2),"Drama, Music, Musical",,,2,,
Phantom of the opera,https://www.youtube.com/watch?v=pgz6PnHkmpY,0:00,3:21,The phantom of the opera,"Drama, Music, Musical",,,10,,
Popstar 2016,https://www.youtube.com/watch?v=WRlIDIu2qpg,2:04,2:24,Incredible_Thoughts_Scene_10_10_Movieclips,"Comedy, Music",,,1,,
Popstar 2016,https://www.youtube.com/watch?v=WRlIDIu2qpg,3:04,3:24,Incredible_Thoughts_Scene_10_10_Movieclips,"Comedy, Music",,,1,,
Popstar 2016,https://www.youtube.com/watch?v=WRlIDIu2qpg,3:26,3:46,Incredible_Thoughts_Scene_10_10_Movieclips,"Comedy, Music",,,1,,
Pretty Woman,https://www.youtube.com/watch?v=1_TZEsUhXRs,0:04,0:32,Pretty Woman,"Comedy, Romance",,,1,,
Psycho,https://www.youtube.com/watch?v=0WtDmbr9xyY,1:20,1:50,Psycho (shower scene),"Horror, Mystery, Thriller",,,1,,
Pulp Fiction,https://youtu.be/WSLMN6g_Od4,1:23,3:17,Pulp Fiction (Dancing),"Crime, Drama",,,5,,
Pumkin,https://www.youtube.com/watch?v=ucgnVBJAtac,1:21,3:12,Falling from grace,"Comedy, Drama, Romance",,,5,,
Raging Bull,https://www.youtube.com/watch?v=L2xD-HYTPPI,0:00,2:34,Raging bull montage,"Biography, Drama, Sport",,,7,,
Rainman,https://www.youtube.com/watch?v=RW1qHA5Hqwc,3:28,3:59,Rainman,Drama,,,1,,
Rashomon,https://www.youtube.com/watch?v=GXygJmtnvm0,0:00,1:57,Rashomon (forest walk),"Crime, Drama, Mystery",,,5,,
Rashomon,https://www.youtube.com/watch?v=GXygJmtnvm0,3:01,3:41,Rashomon (discovery),"Crime, Drama, Mystery",,,2,,
Rashomon,https://www.youtube.com/watch?v=1paL7kbitDQ,0:00,2:28,Rashomon (bandit sees wife),"Crime, Drama, Mystery",,,7,,
Reservoir Dogs,https://www.youtube.com/watch?v=q2Xi3ioasik,0:16,1:18,Reservoir Dogs,"Crime, Drama, Thriller",,,3,,
Reservoir Dogs,https://www.youtube.com/watch?v=XIMg2Xw4_8s,0:54,1:54,Reservoir Dogs (ear scene),"Crime, Drama, Thriller",,,3,,
Reveillon,https://www.youtube.com/watch?v=9amM19UO0Ss,16:45,18:41,Reveillon short greek,Drama,,,0,,
RocknRolla,https://www.youtube.com/watch?v=PeCKn6t5KnI,0:27,0:59,RocknRolla (Russian Song),"Action, Crime, Thriller",,,1,,
RocknRolla,https://www.youtube.com/watch?v=MK1qkCQ-Jm4,3:40,4:45,RocknRolla (chase scene),"Action, Crime, Thriller",,,3,,
Rocky,https://youtu.be/_YYmfM2TfUA,0:00,2:43,Rocky (training),"Drama, Sport",,,8,,
Rocky 2,https://youtu.be/ABg0c_E7OOI,0:32,2:52,Rocky 2 (training),"Drama, Sport",,,7,,
Run lola run,https://www.youtube.com/watch?v=5Vb52h76tKI,1:41,3:27,Run lola run,"Crime, Drama, Thriller",,,5,,
Rushmore,https://www.youtube.com/watch?v=cKTzseniZzs,0:00,1:12,Rushmore,"Comedy, Drama",,,3,,
Rushmore,https://www.youtube.com/watch?v=elQ1SSyTjk4,0:00,1:16,Rushmore (pool),"Comedy, Drama",,,3,,
Rushmore,https://www.youtube.com/watch?v=SIxvwa1t-yA,1:41,3:48,Rushmore (revenge),"Comedy, Drama",,,6,,
Say Anything,https://www.youtube.com/watch?v=uXxN_ylX7Tw,0:26,1:26,Say Anything (Boombox Scene),"Comedy, Drama, Romance",,,3,,
Scent of a Woman,https://www.youtube.com/watch?v=F2zTd_YwTvo,1:42,3:18,Scent of a Woman (dance scene),Drama,,,4,,
Shaun of the dead,https://www.youtube.com/watch?v=W4tVH7BPb-Q,1:21,2:10,Shaun of the dead,"Comedy, Horror",,,2,,
Shawshank Redemption,https://www.youtube.com/watch?v=qzuM2XTnpSA,1:24,1:50,Shawshank Redemption,Drama,,,1,,
Shrek 2001,https://www.youtube.com/watch?v=a3bI7kbVBwM,0:00,0:20,Now_I_m_a_Believer_Scene_10_10_Movieclips,"Animation, Adventure, Comedy",,,1,,
Shrek 2001,https://www.youtube.com/watch?v=a3bI7kbVBwM,1:38,1:58,Now_I_m_a_Believer_Scene_10_10_Movieclips,"Animation, Adventure, Comedy",,,1,,
Shutter Island,https://www.youtube.com/watch?v=lmmJsgfNSIM,3:34,4:34,Shutter island (ww2 flashback),"Mystery, Thriller",,,3,,
snow falling on cedars,https://www.youtube.com/watch?v=042UxUQww2I,2:08,2:38,snow falling on cedars (tarawa scene),"Drama, Mystery, Romance",,,1,,
Solaris,https://www.youtube.com/watch?v=FcglyhUre4w,4:16,5:56,Solaris (levitation),"Drama, Mystery, Sci-Fi",,,5,,
Spider-Man 3 2007,https://www.youtube.com/watch?v=rDGRAHBojWE,1:48,2:08,Cool_Peter_Parker_Scene_5_10_Movieclips,"Action, Sci-Fi",,,1,,
Spider-Man 3 2007,https://www.youtube.com/watch?v=rDGRAHBojWE,2:02,2:22,Cool_Peter_Parker_Scene_5_10_Movieclips,"Action, Sci-Fi",,,1,,
Spider-Man 3 2007,https://www.youtube.com/watch?v=rDGRAHBojWE,1:28,1:48,Cool_Peter_Parker_Scene_5_10_Movieclips,"Action, Sci-Fi",,,1,,
Spider-Man 3 2007,https://www.youtube.com/watch?v=iX23r272kqg,2:22,2:42,Jazz_Club_Dance_Scene_6_10_Movieclips,"Action, Sci-Fi",,,1,,
Spider-Man 3 2007,https://www.youtube.com/watch?v=iX23r272kqg,1:38,1:58,Jazz_Club_Dance_Scene_6_10_Movieclips,"Action, Sci-Fi",,,1,,
Stalker,https://www.youtube.com/watch?v=6CZk0CusOHQ,0:02,2:22,stalker,"Drama, Sci-Fi",,,7,,
Star Wars,https://www.youtube.com/watch?v=O2F91Up9fT8,0:17,0:38,The Emperor Arrives - Star Wars Episode VI Return of the Jedi HD,"Action, Adventure, Fantasy",,,1,,
Step Up,https://www.youtube.com/watch?v=O7Hmrf0GTso,0:03,3:00,Final Dance,"Crime, Drama, Music",,,8,,
Step Up 2,https://www.youtube.com/watch?v=GUHMqQ47Vns,0:20,4:52,Final Dance,"Drama, Music, Romance",,,13,,
Step up 3,https://www.youtube.com/watch?v=rnM8XsuKi0M,0:56,3:56,Water Dance,"Drama, Music, Romance",,,9,,
Step Up 4,https://www.youtube.com/watch?v=GfRBEpsNIf0,1:05,2:34,The MOB Scene Official,"Drama, Music, Romance",,,4,,
Step Up all in,https://www.youtube.com/watch?v=bIr0VSgTDMI,0:00,3:00,Dance Scene (1),"Drama, Music, Romance",,,9,,
Step Up all in,https://www.youtube.com/watch?v=bIr0VSgTDMI,3:20,6:45,Dance Scene (2),"Drama, Music, Romance",,,10,,
Strawberry Statement,https://www.youtube.com/watch?v=q9tMSfC7E38,0:03,2:00,Strawberry Statement,"Drama, Romance",,,5,,
Terminator 2,https://www.youtube.com/watch?v=xZFsIueKx78,2:17,2:37,Terminator 2 Judgement Day Bar Scene Fight Scene (1),"Action, Sci-Fi",,,1,,
Terminator 2,https://www.youtube.com/watch?v=xZFsIueKx78,3:00,3:40,Terminator 2 Judgement Day Bar Scene Fight Scene (2),"Action, Sci-Fi",,,2,,
The Blues Brothers,https://www.youtube.com/watch?v=qdbrIrFxas0,0:07,2:30,Blues Brothers (shake a tail feather),"Adventure, Comedy, Crime, Music",,,7,,
The Blues Brothers,https://www.youtube.com/watch?v=BrMnkbkzvik,0:40,1:40,Blues Brothers (pickup),"Adventure, Comedy, Crime, Music",,,3,,
The Blues Brothers,https://www.youtube.com/watch?v=xYtouKwkXLI,1:02,3:57,Blues Brothers (think),"Adventure, Comedy, Crime, Music",,,8,,
The Blues Brothers 1980,https://www.youtube.com/watch?v=RdR6MN2jKYs,0:00,0:20,Rawhide_Scene_5_9_Movieclips,"Adventure, Comedy, Crime, Music",,,1,,
The Blues Brothers 1980,https://www.youtube.com/watch?v=RdR6MN2jKYs,2:06,2:26,Rawhide_Scene_5_9_Movieclips,"Adventure, Comedy, Crime, Music",,,1,,
The Blues Brothers 1980,https://www.youtube.com/watch?v=qdbrIrFxas0,0:26,0:46,Shake_a_Tail_Feather_Scene_4_9_Movieclips,"Adventure, Comedy, Crime, Music",,,1,,
The crossing guard,https://www.youtube.com/watch?v=3h8FG3XsfPY,0:00,5:00,The crossing guard (intro),"Drama, Thriller",,,15,,
The Departed,https://www.youtube.com/watch?v=xrc1prw96-Y,0:56,1:26,The departed (shipping up to boston),"Crime, Drama, Thriller",,,1,,
